
      0    752   1440      1
    1 -0.4983160E+01 -0.3314023E+00 -0.1634040E-01 -0.9986870E+00 -0.5025881E-01 -0.9913060E-02  0.1231898E-01
    1 -0.4926167E+01 -0.8181210E+00 -0.3208930E-01 -0.9884214E+00 -0.1488660E+00 -0.2936098E-01  0.2355844E-01
    1 -0.4819100E+01 -0.1301962E+01 -0.4799500E-01 -0.9680488E+00 -0.2460220E+00 -0.4852618E-01  0.3633535E-01
    1 -0.4659184E+01 -0.1785367E+01 -0.6380000E-01 -0.9368632E+00 -0.3430865E+00 -0.6766728E-01  0.4959250E-01
    1 -0.4446746E+01 -0.2257223E+01 -0.7908633E-01 -0.8948802E+00 -0.4378726E+00 -0.8635291E-01  0.6224705E-01
    1 -0.4185934E+01 -0.2705113E+01 -0.9345300E-01 -0.8429421E+00 -0.5278342E+00 -0.1041138E+00  0.7338896E-01
    1 -0.3877913E+01 -0.3125410E+01 -0.1069230E+00 -0.7817140E+00 -0.6118521E+00 -0.1206657E+00  0.8489332E-01
    1 -0.3525367E+01 -0.3513430E+01 -0.1192547E+00 -0.7116389E+00 -0.6892641E+00 -0.1359594E+00  0.9521751E-01
    1 -0.3133777E+01 -0.3862487E+01 -0.1302397E+00 -0.6338757E+00 -0.7588173E+00 -0.1496586E+00  0.1039954E+00
    1 -0.2709930E+01 -0.4167160E+01 -0.1397163E+00 -0.5498897E+00 -0.8194507E+00 -0.1616222E+00  0.1109443E+00
    1 -0.2261497E+01 -0.4423594E+01 -0.1475760E+00 -0.4611509E+00 -0.8705546E+00 -0.1716819E+00  0.1158878E+00
    1 -0.1796600E+01 -0.4629630E+01 -0.1537670E+00 -0.3693379E+00 -0.9117322E+00 -0.1798163E+00  0.1187668E+00
    1 -0.1323370E+01 -0.4784817E+01 -0.1582933E+00 -0.2759490E+00 -0.9430063E+00 -0.1859877E+00  0.1196282E+00
    1 -0.8346120E+00 -0.4892303E+01 -0.1613077E+00 -0.1803329E+00 -0.9650131E+00 -0.1903411E+00  0.1242592E+00
    1 -0.3433226E+00 -0.4950747E+01 -0.1626673E+00 -0.8346783E-01 -0.9776757E+00 -0.1928298E+00  0.1220767E+00
    1  0.1075743E+00 -0.4930551E+01 -0.3252347E+00  0.6996043E-02 -0.9810756E+00 -0.1934985E+00  0.1073195E+00
    1  0.5790090E+00 -0.4897093E+01 -0.3235347E+00  0.9768127E-01 -0.9764090E+00 -0.1925718E+00  0.1214823E+00
    1  0.1067501E+01 -0.4816230E+01 -0.3187397E+00  0.1939167E+00 -0.9624773E+00 -0.1898255E+00  0.1197719E+00
    1  0.1555257E+01 -0.4684593E+01 -0.3106360E+00  0.2900632E+00 -0.9389192E+00 -0.1851869E+00  0.1191951E+00
    1  0.2038443E+01 -0.4499970E+01 -0.2990547E+00  0.3859004E+00 -0.9051041E+00 -0.1785146E+00  0.1164725E+00
    1  0.2501523E+01 -0.4266263E+01 -0.2841623E+00  0.4787607E+00 -0.8613506E+00 -0.1698925E+00  0.1091428E+00
    1  0.2938620E+01 -0.3985280E+01 -0.2661580E+00  0.5668824E+00 -0.8082275E+00 -0.1594130E+00  0.1019463E+00
    1  0.3346233E+01 -0.3658553E+01 -0.2451083E+00  0.6497674E+00 -0.7457669E+00 -0.1470847E+00  0.9340038E-01
    1  0.3717840E+01 -0.3290410E+01 -0.2212693E+00  0.7261204E+00 -0.6745730E+00 -0.1330432E+00  0.8325949E-01
    1  0.4047310E+01 -0.2886956E+01 -0.1950280E+00  0.7945249E+00 -0.5957567E+00 -0.1174912E+00  0.7187138E-01
    1  0.4329953E+01 -0.2455380E+01 -0.1668480E+00  0.8538997E+00 -0.5106001E+00 -0.1007108E+00  0.5964753E-01
    1  0.4562737E+01 -0.2003527E+01 -0.1372417E+00  0.9034135E+00 -0.4206652E+00 -0.8297491E-01  0.4701575E-01
    1  0.4744360E+01 -0.1539477E+01 -0.1067407E+00  0.9426020E+00 -0.3276073E+00 -0.6461298E-01  0.3439355E-01
    1  0.4875183E+01 -0.1071109E+01 -0.7586833E-01  0.9713693E+00 -0.2330846E+00 -0.4597124E-01  0.2215515E-01
    1  0.4958700E+01 -0.5873446E+00 -0.4420777E-01  0.9903562E+00 -0.1359263E+00 -0.2680786E-01  0.1055359E-01
    1  0.4987640E+01 -0.2840603E+00 -0.1400610E-01  0.9990368E+00 -0.4305110E-01 -0.8490675E-02  0.9047565E-02
    1 -0.4983160E+01 -0.3200673E+00 -0.4660803E-01 -0.9984285E+00 -0.4842401E-01 -0.2820487E-01  0.1089753E-01
    1 -0.4926167E+01 -0.7926379E+00 -0.1078694E+00 -0.9861836E+00 -0.1431431E+00 -0.8337770E-01  0.2088212E-01
